customer_id,full_name,email,phone,age,gender,registration_date,last_purchase_date,total_spent,purchase_frequency,preferred_category,loyalty_tier,country,city,subscription_status
CUST_000001,Shane Foster,dwaynesmith@example.com,423-737-2397,31,Male,2021-11-22,2024-12-19,1496.11,Quarterly,Home,Silver,USA,Chicago,Active
CUST_000002,Connie Tran,ymartin@example.org,(468)391-0005x04544,40,Male,2024-09-13,2025-05-15,10035.87,Weekly,Books,Platinum,Canada,Montreal,Inactive
CUST_000003,Donald Green DDS,latoyamontoya@example.net,001-492-361-0404x708,80,Female,2022-11-30,2024-12-14,9002.4,Monthly,Sports,Platinum,Australia,Melbourne,Inactive
CUST_000004,Craig Merritt,stevenspaul@example.net,483-305-3481x39761,42,Female,2022-09-10,2025-06-28,3421.39,Weekly,Books,Platinum,USA,New York,Active
CUST_000005,Jennifer Pena,chavezmark@example.org,706-782-3520x3146,49,Female,2020-12-09,2025-03-12,7733.96,Weekly,Home,Platinum,Canada,Toronto,Active
CUST_000006,Michelle Ray,grahambrittany@example.com,+1-392-774-5273x4773,21,Female,2022-05-14,2025-05-26,4353.01,Monthly,Electronics,Platinum,Germany,Munich,Churned
CUST_000007,Matthew Boone,amyboyer@example.net,+1-315-252-0476x536,36,Male,2021-11-24,2024-11-03,710.12,Monthly,Electronics,Silver,UK,Manchester,Active
CUST_000008,Brittney Herman,randy51@example.com,(469)550-1765,38,Male,2020-07-20,2025-02-06,132.05,Rarely,Books,Bronze,Germany,Berlin,Active
CUST_000009,James Smith,lewischristopher@example.com,613-549-8439,54,Male,2021-06-30,2025-04-23,440.32,Monthly,Clothing,Bronze,Germany,Berlin,Active
CUST_000010,Jessica Ramirez,lpaul@example.com,748-930-0661,20,Male,2021-02-27,2024-12-27,4872.72,Weekly,Sports,Platinum,USA,Phoenix,Inactive
CUST_000011,Tracy Mullins,jmaddox@example.org,756-708-9049,44,Female,2024-03-17,2025-01-20,502.37,Rarely,Clothing,Silver,Australia,Adelaide,Inactive
CUST_000012,Christopher Gomez,holly36@example.org,(470)520-9183,70,Male,2022-02-02,2025-03-01,937.99,Quarterly,Electronics,Silver,UK,Leeds,Churned
CUST_000013,Richard Bass,riley37@example.com,(748)442-3112,61,Female,2024-02-18,2025-01-20,2875.37,Quarterly,Books,Gold,USA,Houston,Active
CUST_000014,Lisa Thompson,martinjoseph@example.org,(970)802-0926x79113,51,Male,2022-03-11,2024-09-14,1866.89,Quarterly,Sports,Gold,Canada,Ottawa,Active
CUST_000015,Dawn Espinoza,fitzgeraldbonnie@example.org,001-652-688-6310x6137,35,Female,2024-10-20,2024-12-06,16255.71,Weekly,Sports,Platinum,Australia,Adelaide,Inactive
CUST_000016,Beverly Hoover,julielawrence@example.org,734-887-3527,44,Female,2021-11-26,2025-02-21,7293.17,Monthly,Home,Platinum,Germany,Frankfurt,Inactive
CUST_000017,Justin Obrien,vincentjoshua@example.org,+1-367-949-0848x9656,18,Male,2023-01-06,2024-10-26,4761.44,Quarterly,Books,Platinum,Germany,Hamburg,Active
CUST_000018,Derrick Wright,davidgreen@example.com,001-711-377-3513x8426,19,Male,2021-05-02,2025-02-08,15625.1,Weekly,Electronics,Platinum,USA,Los Angeles,Active
CUST_000019,Kevin Buchanan,waynefitzgerald@example.com,810.474.2769x2555,49,Male,2025-05-11,2025-05-12,8182.63,Weekly,Electronics,Platinum,UK,Leeds,Churned
CUST_000020,Annette Ray,deborahgonzalez@example.com,(279)448-5944x93269,49,Male,2021-12-25,2024-09-06,3491.04,Quarterly,Sports,Platinum,Australia,Melbourne,Active
CUST_000021,Katie Garza,pweeks@example.com,(277)903-7837x384,59,Female,2022-09-18,2025-03-19,6319.85,Monthly,Home,Platinum,Australia,Perth,Inactive
CUST_000022,Jennifer Richardson,harrisjohn@example.com,001-628-996-9068,49,Female,2023-11-01,2024-11-04,896.42,Monthly,Books,Silver,USA,Chicago,Active
CUST_000023,Victor Schultz,gomezmonique@example.org,733-217-9871,53,Female,2024-12-04,2025-02-09,57.42,Rarely,Home,Bronze,UK,Birmingham,Active
CUST_000024,Brian Garcia,tbaker@example.com,348.511.7813x2016,33,Male,2023-04-14,2024-10-08,1113.92,Quarterly,Home,Silver,Germany,Berlin,Active
CUST_000025,Laura Marshall,ellenpowers@example.org,688-491-9407x56106,45,Male,2023-07-24,2025-02-22,19608.37,Weekly,Electronics,Platinum,UK,Manchester,Active
CUST_000026,Kristina Lopez,fwilliams@example.net,(955)364-3700,49,Male,2023-07-02,2024-11-25,4285.54,Weekly,Electronics,Platinum,UK,Leeds,Active
CUST_000027,Alison Case,brandonerickson@example.com,+1-222-636-4098x951,61,Male,2025-05-23,2025-06-11,1190.29,Quarterly,Electronics,Silver,Germany,Hamburg,Churned
CUST_000028,Leslie Lynch,agonzalez@example.org,(410)256-6964x42087,55,Male,2022-03-27,2024-12-27,4599.87,Quarterly,Electronics,Platinum,UK,Leeds,Active
CUST_000029,Cory Myers,gsanchez@example.com,001-722-428-5542x550,51,Female,2023-09-05,2025-06-13,136.01,Quarterly,Sports,Bronze,Canada,Montreal,Active
CUST_000030,Kevin Jones,bgoodman@example.com,+1-822-663-7235x00025,64,Female,2022-06-29,2024-07-31,4741.26,Monthly,Books,Platinum,UK,Birmingham,Active
CUST_000031,Hannah Cummings,alvaradosusan@example.net,723-692-4637x26535,51,Female,2022-03-20,2025-06-30,1898.99,Quarterly,Clothing,Gold,Australia,Perth,Inactive
CUST_000032,Ronald Scott,mhoward@example.net,7597709151,34,Male,2021-11-07,2024-12-28,3163.51,Quarterly,Home,Platinum,UK,Glasgow,Inactive
CUST_000033,Jasmine Proctor,shannondennis@example.net,+1-479-761-3044x77478,35,Female,2022-02-24,2024-11-03,1885.11,Quarterly,Electronics,Gold,Germany,Frankfurt,Inactive
