order_id,customer_email,order_date,product_category,product_subcategory,order_value,shipping_cost,discount_percentage,delivery_days,customer_satisfaction,return_requested,marketing_channel,device_type,payment_method
ORD_0000001,rachel70@example.net,2024-05-09,Fashion,Jewelry,165.06,0.0,0.21,3,4,False,Email,Mobile,PayPal
ORD_0000002,richard95@example.com,2024-05-06,Sports,Team Sports,126.44,0.0,0.18,2,5,False,Email,Mobile,PayPal
ORD_0000003,catherineramsey@example.org,2024-05-31,Fashion,Clothing,286.53,0.0,0.25,12,5,False,Organic,Tablet,Credit Card
ORD_0000004,haneyrebecca@example.org,2024-05-02,Sports,Fitness,79.52,3.35,0.11,14,3,False,Organic,Mobile,Digital Wallet
ORD_0000005,ashley55@example.net,2023-08-25,Home,Garden,798.94,0.0,0.36,12,4,False,Paid Search,Desktop,PayPal
ORD_0000006,scottthomas@example.net,2024-10-24,Home,Kitchen,250.76,0.0,0.31,11,1,False,Organic,Mobile,PayPal
ORD_0000007,ychavez@example.org,2025-01-27,Sports,Fitness,369.58,0.0,0.03,5,4,False,Social Media,Mobile,PayPal
ORD_0000008,brittany67@example.net,2024-11-20,Fashion,Clothing,248.11,0.0,0.03,13,4,False,Social Media,Desktop,Credit Card
ORD_0000009,victoriajenkins@example.net,2024-06-05,Books,Fiction,29.68,11.7,0.43,11,2,False,Paid Search,Mobile,PayPal
ORD_0000010,wallthomas@example.org,2024-02-10,Sports,Outdoor,82.44,4.08,0.41,10,4,False,Email,Mobile,Debit Card
ORD_0000011,gabriellesmith@example.com,2023-11-27,Sports,Team Sports,35.0,12.01,0.35,13,3,True,Organic,Mobile,Credit Card
ORD_0000012,ruben12@example.net,2025-05-27,Sports,Water Sports,324.32,0.0,0.18,10,2,False,Email,Mobile,Credit Card
ORD_0000013,grivera@example.org,2025-07-04,Beauty,Skincare,133.07,0.0,0.28,4,3,False,Paid Search,Desktop,Credit Card
ORD_0000014,lbarnes@example.com,2025-06-17,Beauty,Hair Care,18.06,6.12,0.24,8,2,False,Social Media,Mobile,Credit Card
ORD_0000015,goodmanalexander@example.com,2024-12-13,Fashion,Jewelry,133.19,0.0,0.03,12,5,False,Email,Mobile,PayPal
ORD_0000016,gomezmark@example.net,2024-12-12,Beauty,Makeup,23.83,10.05,0.12,8,2,False,Organic,Mobile,Credit Card
ORD_0000017,jameshardy@example.net,2024-11-17,Home,Garden,786.36,0.0,0.41,3,1,False,Paid Search,Desktop,Credit Card
ORD_0000018,mturner@example.net,2024-04-06,Fashion,Jewelry,152.59,0.0,0.01,11,4,False,Organic,Tablet,Credit Card
ORD_0000019,jwilliams@example.net,2023-08-23,Sports,Team Sports,300.36,0.0,0.39,9,4,False,Social Media,Desktop,Credit Card
ORD_0000020,cschneider@example.net,2024-11-02,Beauty,Skincare,47.65,10.01,0.21,9,2,False,Paid Search,Mobile,Credit Card
ORD_0000021,kpalmer@example.net,2023-12-04,Home,Kitchen,78.24,4.5,0.31,2,1,False,Organic,Desktop,PayPal
ORD_0000022,renee67@example.com,2024-07-19,Beauty,Skincare,81.61,5.92,0.44,13,2,True,Paid Search,Desktop,Debit Card
ORD_0000023,teresa50@example.com,2024-09-21,Sports,Fitness,285.77,0.0,0.14,2,5,False,Social Media,Desktop,PayPal
ORD_0000024,nhuber@example.net,2025-04-01,Fashion,Clothing,261.58,0.0,0.05,8,4,False,Paid Search,Desktop,Digital Wallet
ORD_0000025,jimenezdonna@example.net,2024-08-06,Electronics,Laptops,584.76,0.0,0.15,2,3,False,Referral,Desktop,PayPal
ORD_0000026,mayjanet@example.net,2025-06-17,Home,Furniture,253.28,0.0,0.4,4,2,False,Social Media,Desktop,Credit Card
ORD_0000027,barbara88@example.org,2025-06-16,Sports,Water Sports,155.15,0.0,0.17,14,2,False,Email,Mobile,Credit Card
ORD_0000028,heidihiggins@example.org,2025-03-01,Electronics,Smartphones,1422.8,0.0,0.23,13,4,False,Social Media,Mobile,Credit Card
ORD_0000029,kwolfe@example.org,2025-01-20,Beauty,Hair Care,93.78,5.81,0.32,2,4,False,Social Media,Mobile,Credit Card
ORD_0000030,crystalvasquez@example.com,2024-11-28,Home,Furniture,93.81,6.11,0.28,2,1,False,Email,Tablet,Credit Card
ORD_0000031,misty95@example.com,2025-03-14,Home,Garden,132.75,0.0,0.08,14,1,False,Paid Search,Mobile,Credit Card
ORD_0000032,dixonmicheal@example.net,2023-07-14,Sports,Fitness,252.63,0.0,0.39,13,3,False,Social Media,Mobile,Debit Card
ORD_0000033,smithjulie@example.org,2024-02-27,Fashion,Shoes,84.12,4.4,0.29,11,3,False,Paid Search,Mobile,PayPal
ORD_0000034,alvarezdavid@example.com,2024-03-27,Electronics,Audio,915.87,0.0,0.36,4,2,False,Organic,Mobile,Debit Card
ORD_0000035,juliedorsey@example.org,2024-04-21,Beauty,Fragrance,16.13,7.46,0.47,13,3,False,Email,Desktop,Credit Card
ORD_0000036,scottmadison@example.com,2024-04-09,Home,Furniture,511.2,0.0,0.07,7,4,False,Organic,Desktop,Credit Card
ORD_0000037,karen77@example.com,2023-12-31,Books,Non-fiction,51.71,3.46,0.44,4,5,False,Organic,Mobile,Digital Wallet
ORD_0000038,zbaker@example.com,2025-05-25,Electronics,Audio,449.19,0.0,0.28,1,2,False,Paid Search,Mobile,PayPal
ORD_0000039,davidhenry@example.com,2024-09-05,Sports,Fitness,108.52,0.0,0.05,3,3,False,Email,Mobile,Credit Card
ORD_0000040,robertellison@example.net,2025-07-01,Sports,Water Sports,374.69,0.0,0.2,5,5,False,Social Media,Desktop,PayPal
ORD_0000041,pjones@example.com,2024-08-12,Fashion,Clothing,34.37,5.7,0.44,11,4,False,Paid Search,Mobile,Credit Card
ORD_0000042,josephvelasquez@example.org,2024-09-20,Fashion,Jewelry,82.41,6.07,0.1,8,2,False,Social Media,Desktop,Credit Card
ORD_0000043,rodriguezkristin@example.org,2024-09-26,Electronics,Gaming,743.67,0.0,0.05,12,3,False,Social Media,Mobile,Credit Card
ORD_0000044,guerrerofelicia@example.com,2024-04-04,Fashion,Clothing,227.75,0.0,0.44,4,5,False,Organic,Mobile,PayPal
ORD_0000045,panderson@example.org,2024-08-14,Fashion,Jewelry,157.79,0.0,0.2,2,2,False,Paid Search,Mobile,Credit Card
ORD_0000046,mackcarolyn@example.net,2024-04-22,Beauty,Fragrance,86.65,5.68,0.17,8,3,False,Referral,Mobile,Debit Card
ORD_0000047,lewiskathleen@example.org,2024-04-10,Home,Garden,656.7,0.0,0.3,9,4,True,Email,Mobile,Digital Wallet
ORD_0000048,jonathan16@example.org,2024-06-15,Books,Fiction,23.53,9.46,0.32,9,3,False,Paid Search,Desktop,Credit Card
ORD_0000049,zcohen@example.com,2025-04-24,Books,Non-fiction,58.06,4.24,0.24,7,4,False,Referral,Desktop,Debit Card
ORD_0000050,christinefreeman@example.org,2023-12-01,Sports,Outdoor,93.53,5.26,0.15,13,1,False,Paid Search,Mobile,PayPal
ORD_0000051,natashabailey@example.org,2024-12-16,Fashion,Jewelry,268.06,0.0,0.04,7,3,False,Paid Search,Mobile,Credit Card
ORD_0000052,woodharold@example.com,2024-03-09,Home,Furniture,413.86,0.0,0.2,10,1,False,Organic,Desktop,Digital Wallet
ORD_0000053,ckelly@example.net,2024-09-12,Electronics,Gaming,126.11,0.0,0.06,9,5,False,Organic,Mobile,Debit Card
ORD_0000054,lisa20@example.org,2023-12-07,Home,Kitchen,96.97,7.62,0.45,3,5,False,Organic,Mobile,Credit Card
ORD_0000055,richard49@example.net,2024-06-16,Electronics,Audio,820.43,0.0,0.09,9,1,False,Paid Search,Mobile,Debit Card
ORD_0000056,katie96@example.org,2024-06-28,Electronics,Smartphones,394.57,0.0,0.02,13,2,True,Paid Search,Mobile,Debit Card
ORD_0000057,michellemartinez@example.org,2023-09-01,Sports,Water Sports,99.24,3.65,0.17,9,5,True,Paid Search,Mobile,Debit Card
ORD_0000058,denise38@example.net,2025-06-24,Sports,Fitness,176.25,0.0,0.2,1,3,False,Paid Search,Mobile,PayPal
ORD_0000059,williamjackson@example.net,2024-02-12,Beauty,Hair Care,142.75,0.0,0.49,2,4,False,Organic,Mobile,Debit Card
ORD_0000060,sarah21@example.org,2024-01-06,Sports,Fitness,341.61,0.0,0.47,11,5,False,Paid Search,Mobile,Credit Card
ORD_0000061,chadhayes@example.org,2025-05-17,Home,Furniture,421.27,0.0,0.05,9,3,False,Paid Search,Desktop,PayPal
ORD_0000062,daniel97@example.net,2025-03-09,Sports,Fitness,388.1,0.0,0.47,12,2,False,Email,Tablet,PayPal
ORD_0000063,jasmin40@example.net,2023-11-19,Fashion,Shoes,238.57,0.0,0.07,14,3,False,Organic,Mobile,Debit Card
ORD_0000064,wnelson@example.com,2024-09-09,Books,Non-fiction,14.1,8.93,0.28,12,2,False,Paid Search,Mobile,Credit Card
ORD_0000065,troy77@example.com,2024-04-27,Books,Educational,40.22,7.32,0.02,7,5,False,Organic,Mobile,Credit Card
ORD_0000066,ashley73@example.org,2025-03-18,Fashion,Accessories,250.92,0.0,0.15,12,3,False,Social Media,Mobile,Debit Card
ORD_0000067,jesus54@example.com,2024-06-11,Beauty,Hair Care,127.66,0.0,0.06,1,3,True,Paid Search,Mobile,Credit Card
ORD_0000068,wmcguire@example.com,2025-06-28,Sports,Water Sports,115.37,0.0,0.2,5,1,False,Organic,Desktop,PayPal
ORD_0000069,josephgarcia@example.org,2023-08-28,Electronics,Audio,544.81,0.0,0.39,4,4,True,Paid Search,Mobile,Debit Card
ORD_0000070,kingandrew@example.com,2024-01-22,Fashion,Shoes,127.88,0.0,0.45,12,2,False,Referral,Desktop,PayPal
ORD_0000071,gabriel57@example.org,2024-10-19,Electronics,Laptops,580.91,0.0,0.04,13,5,False,Paid Search,Mobile,Debit Card
ORD_0000072,bobby41@example.net,2024-05-09,Fashion,Clothing,163.82,0.0,0.01,5,1,False,Email,Desktop,Credit Card
ORD_0000073,collinsrobert@example.com,2023-10-19,Beauty,Fragrance,28.94,8.21,0.15,1,3,True,Email,Mobile,Debit Card
ORD_0000074,ywood@example.org,2024-04-13,Fashion,Clothing,141.56,0.0,0.29,9,3,False,Organic,Desktop,PayPal
ORD_0000075,eroberson@example.org,2023-09-26,Sports,Fitness,127.87,0.0,0.21,10,1,False,Paid Search,Mobile,Digital Wallet
ORD_0000076,johncarlson@example.net,2024-12-22,Electronics,Laptops,924.64,0.0,0.46,2,2,False,Social Media,Mobile,Digital Wallet
ORD_0000077,nicholas81@example.org,2024-07-20,Fashion,Accessories,273.06,0.0,0.03,3,2,False,Organic,Mobile,Credit Card
ORD_0000078,rnelson@example.org,2023-12-25,Beauty,Makeup,20.13,13.43,0.31,14,4,False,Email,Mobile,PayPal
ORD_0000079,katherine27@example.org,2024-04-11,Sports,Fitness,52.92,6.82,0.18,3,2,False,Social Media,Mobile,Digital Wallet
ORD_0000080,dmacdonald@example.com,2024-09-12,Electronics,Audio,134.39,0.0,0.21,13,3,False,Social Media,Mobile,Credit Card
ORD_0000081,qedwards@example.com,2024-08-12,Sports,Outdoor,253.83,0.0,0.38,5,1,False,Organic,Mobile,Credit Card
ORD_0000082,tina53@example.com,2024-02-17,Fashion,Shoes,194.21,0.0,0.04,4,2,False,Organic,Mobile,Debit Card
ORD_0000083,wgray@example.org,2023-12-12,Beauty,Hair Care,92.34,6.12,0.4,8,4,False,Organic,Desktop,Credit Card
ORD_0000084,kaguilar@example.net,2024-12-03,Electronics,Laptops,496.71,0.0,0.21,13,3,False,Paid Search,Tablet,Credit Card
ORD_0000085,jeremy19@example.com,2025-05-27,Electronics,Smartphones,386.01,0.0,0.36,14,4,False,Organic,Mobile,PayPal
ORD_0000086,ferrellmadeline@example.com,2024-12-27,Fashion,Shoes,182.89,0.0,0.03,6,1,True,Organic,Tablet,Digital Wallet
ORD_0000087,chad92@example.net,2024-03-25,Home,Kitchen,185.06,0.0,0.06,5,5,False,Social Media,Desktop,Debit Card
ORD_0000088,kreed@example.net,2025-07-04,Books,Educational,27.36,13.95,0.07,12,5,False,Social Media,Mobile,Credit Card
ORD_0000089,taylorjulie@example.org,2024-07-10,Books,Educational,9.16,13.02,0.11,8,2,False,Paid Search,Desktop,Credit Card
ORD_0000090,sherry04@example.com,2025-05-27,Home,Decor,132.55,0.0,0.33,9,3,False,Email,Desktop,Credit Card
