account_id,customer_name,account_type,balance,credit_score,annual_income,account_opening_date,last_transaction_date,transaction_count_monthly,overdraft_count,loan_amount,loan_interest_rate,employment_status,marital_status
ACC_00000001,Thomas Elliott,Checking,5754.53,664,104437,2022-10-14,2025-06-24,14,2,0.0,0.0,Employed,Married
ACC_00000002,Ashley Scott,Savings,386.87,728,1162,2020-01-20,2025-06-30,12,1,17248.49,10.72,Unemployed,Married
ACC_00000003,Scott Barnes,Credit,-4440.82,640,94364,2019-08-21,2025-06-07,14,2,0.0,0.0,Employed,Divorced
ACC_00000004,Richard Cole,Credit,-3810.04,850,142780,2021-02-08,2025-06-15,21,2,0.0,0.0,Employed,Divorced
ACC_00000005,Paul Holmes,Checking,5974.66,659,104370,2017-04-30,2025-07-01,20,0,0.0,0.0,Employed,Married
ACC_00000006,Jenny Schwartz,Credit,-1805.42,850,150851,2020-03-19,2025-07-04,9,0,0.0,0.0,Employed,Divorced
ACC_00000007,Adrian Gentry,Checking,4523.76,622,100578,2023-07-16,2025-06-24,12,2,183231.82,11.78,Employed,Married
ACC_00000008,Paul Smith,Savings,4969.08,619,93608,2022-12-13,2025-06-28,14,1,0.0,0.0,Employed,Divorced
ACC_00000009,Allison Ryan,Savings,2143.05,717,82404,2016-05-15,2025-06-28,15,4,228677.66,10.83,Self-employed,Divorced
ACC_00000010,Erik Graham,Savings,14590.42,544,57529,2017-04-27,2025-06-09,18,4,0.0,0.0,Employed,Married
ACC_00000011,Mark Smith,Checking,1598.89,551,67872,2019-03-19,2025-06-05,7,1,0.0,0.0,Employed,Married
ACC_00000012,Sherri Kaufman,Savings,33148.98,710,114670,2024-08-17,2025-06-13,17,1,0.0,0.0,Employed,Married
ACC_00000013,Mike Miller,Checking,2983.15,657,106796,2019-04-03,2025-07-01,7,3,145410.72,11.43,Employed,Single
ACC_00000014,Amy Thompson,Savings,8405.28,542,78174,2019-03-29,2025-06-26,14,0,0.0,0.0,Employed,Married
ACC_00000015,Eric Hogan,Savings,23373.3,561,91519,2019-07-11,2025-06-08,14,2,45302.21,12.39,Employed,Married
ACC_00000016,Sara Trevino,Credit,-1078.85,751,123484,2020-09-20,2025-06-11,18,3,0.0,0.0,Employed,Widowed
ACC_00000017,Katherine Saunders,Investment,24617.65,842,137289,2015-09-19,2025-06-26,12,4,0.0,0.0,Employed,Divorced
ACC_00000018,Sandra Mendez,Credit,-4928.25,607,93311,2017-12-23,2025-06-28,17,0,0.0,0.0,Employed,Single
ACC_00000019,Breanna Randall,Checking,2041.37,500,33988,2023-09-13,2025-06-19,15,0,21411.0,13.0,Retired,Divorced
ACC_00000020,Courtney Brown,Savings,814.56,705,7861,2016-03-13,2025-06-12,10,1,0.0,0.0,Unemployed,Single
ACC_00000021,Andrew Martinez,Savings,5455.78,630,101646,2017-08-29,2025-06-30,20,0,0.0,0.0,Employed,Single
ACC_00000022,Shelly Mora,Checking,1849.53,671,106771,2018-06-05,2025-06-11,12,1,0.0,0.0,Employed,Married
ACC_00000023,Tracy Bryant,Savings,21088.86,537,87954,2017-02-28,2025-07-03,17,1,155115.38,12.63,Employed,Married
ACC_00000024,Adam Bowen,Checking,608.97,644,85185,2021-06-22,2025-06-23,14,0,0.0,0.0,Self-employed,Married
ACC_00000025,Harold Jacobs,Checking,2151.3,758,32425,2024-06-25,2025-06-25,13,1,0.0,0.0,Retired,Divorced
ACC_00000026,Paul Lewis,Savings,20305.73,629,85269,2018-05-05,2025-06-25,15,0,0.0,0.0,Employed,Married
ACC_00000027,Kaitlyn Reese,Checking,2465.09,735,95043,2024-09-17,2025-06-16,8,3,0.0,0.0,Self-employed,Married
ACC_00000028,Susan Mata,Checking,4310.86,771,49057,2021-06-16,2025-06-20,10,0,0.0,0.0,Retired,Single
ACC_00000029,David Steele,Credit,-4324.81,617,70660,2024-03-16,2025-06-12,14,0,0.0,0.0,Self-employed,Married
ACC_00000030,Debbie Gibson,Savings,23287.13,699,96185,2018-10-17,2025-06-18,9,1,0.0,0.0,Self-employed,Single
ACC_00000031,Dr. Robert Brown,Checking,7627.32,727,126517,2023-03-21,2025-06-22,15,0,0.0,0.0,Employed,Single
ACC_00000032,Robert Gates,Savings,3267.74,614,50027,2021-07-28,2025-06-29,17,1,172572.64,11.86,Retired,Single
